"","X","location","number","ABC","DateTime","Air_Temp","Tire","Tire_b","Soil","RH","Tire_RH","Solar","pcpn","dwpt","wdir","wspd","wspd_max","wstdv","Diff","Diff.S","Diff.ST","Diff.RH","Diff.b","condition","pull.date","sheet"
"30",89,"Arl","7","S",2021-10-07 17:00:00,18,18.771,NA,NA,99.4,97.58,149.3,0,NA,90.5,3.4,5.9,12.2,0.771000000000001,NA,NA,-1.82000000000001,NA,"pull1",2021-11-30,"B.12"
"31",93,"Arl","7","S",2021-10-07 18:00:00,18,18.271,NA,NA,98.9,98.327,60.8,0,NA,90.7,3,5.3,11.9,0.271000000000001,NA,NA,-0.573000000000008,NA,"pull1",2021-11-30,"B.12"
"32",94,"Arl","7","S",2021-10-07 19:00:00,17.9,17.843,NA,NA,99.8,99.189,5.2,0,NA,101.3,2.1,4.2,16.4,-0.0569999999999986,NA,NA,-0.611000000000004,NA,"pull1",2021-11-30,"B.12"
"33",98,"Arl","7","S",2021-10-07 20:00:00,17.4,16.439,NA,NA,99.9,99.368,0,0,NA,109.2,1.5,3.5,10.7,-0.960999999999999,NA,NA,-0.532000000000011,NA,"pull1",2021-11-30,"B.12"
"34",102,"Arl","7","S",2021-10-07 21:00:00,16.3,14.529,NA,NA,99.9,99.603,0,0,NA,117.9,0.3,1.9,6.7,-1.771,NA,NA,-0.297000000000011,NA,"pull1",2021-11-30,"B.12"
"35",104,"Arl","7","S",2021-10-07 22:00:00,15.6,14.385,NA,NA,99.9,100,0,0,NA,115.4,0.2,1.7,2.7,-1.215,NA,NA,0.0999999999999943,NA,"pull1",2021-11-30,"B.12"
"36",106,"Arl","7","S",2021-10-07 23:00:00,16.4,16.296,NA,NA,99.9,100,0,0.25,NA,116.1,1,2.8,13.7,-0.103999999999999,NA,NA,0.0999999999999943,NA,"pull1",2021-11-30,"B.12"
"37",111,"Arl","7","S",2021-10-08 00:00:00,16.8,16.725,NA,NA,99.9,100,0,0,NA,128.7,0.7,1.9,10.3,-0.0749999999999993,NA,NA,0.0999999999999943,NA,"pull1",2021-11-30,"B.12"
"38",113,"Arl","7","S",2021-10-08 01:00:00,16.5,16.677,NA,NA,99.9,100,0,0,NA,122.7,0.2,1.9,16.3,0.177,NA,NA,0.0999999999999943,NA,"pull1",2021-11-30,"B.12"
"39",116,"Arl","7","S",2021-10-08 02:00:00,16.6,16.844,NA,NA,99.9,100,0,0,NA,108.1,0.4,2,8.4,0.244,NA,NA,0.0999999999999943,NA,"pull1",2021-11-30,"B.12"
"40",118,"Arl","7","S",2021-10-08 03:00:00,16.5,16.844,NA,NA,99.9,100,0,0,NA,105.5,0.6,1.9,8.8,0.344000000000001,NA,NA,0.0999999999999943,NA,"pull1",2021-11-30,"B.12"
"41",123,"Arl","7","S",2021-10-08 04:00:00,16.1,16.415,NA,NA,99.9,100,0,0,NA,109.6,0.9,2.1,10.4,0.314999999999998,NA,NA,0.0999999999999943,NA,"pull1",2021-11-30,"B.12"
"42",124,"Arl","7","S",2021-10-08 05:00:00,15.6,16.201,NA,NA,99.9,100,0,0,NA,116.5,0.3,1.9,8,0.601000000000001,NA,NA,0.0999999999999943,NA,"pull1",2021-11-30,"B.12"
"43",127,"Arl","7","S",2021-10-08 06:00:00,15.8,16.32,NA,NA,99.9,100,0,0,NA,0,0,0,0,0.52,NA,NA,0.0999999999999943,NA,"pull1",2021-11-30,"B.12"
"44",130,"Arl","7","S",2021-10-08 07:00:00,16.1,16.463,NA,NA,99.9,100,0.4,0,NA,217.3,0,0.7,0,0.363,NA,NA,0.0999999999999943,NA,"pull1",2021-11-30,"B.12"
"45",135,"Arl","7","S",2021-10-08 08:00:00,16.2,17.034,NA,NA,99.9,100,52.4,0,NA,185.1,0.5,2,14.3,0.834,NA,NA,0.0999999999999943,NA,"pull1",2021-11-30,"B.12"
"46",138,"Arl","7","S",2021-10-08 09:00:00,16.4,17.701,NA,NA,99.9,100,151.7,0,NA,201.9,1.1,2.5,19.6,1.301,NA,NA,0.0999999999999943,NA,"pull1",2021-11-30,"B.12"
"47",139,"Arl","7","S",2021-10-08 10:00:00,16.8,19.532,NA,NA,99.9,100,351.2,0,NA,188,0.5,2.1,18.1,2.732,NA,NA,0.0999999999999943,NA,"pull1",2021-11-30,"B.12"
"48",144,"Arl","7","S",2021-10-08 11:00:00,17.1,21.318,NA,NA,99.9,92.236,413.9,0,NA,168.3,0.7,2.5,30.9,4.218,NA,NA,-7.664,NA,"pull1",2021-11-30,"B.12"
"49",145,"Arl","7","S",2021-10-08 12:00:00,17.6,22.011,NA,NA,99.7,88.302,505.4,0,NA,192.6,0.9,2.6,29.7,4.411,NA,NA,-11.398,NA,"pull1",2021-11-30,"B.12"
"50",148,"Arl","7","S",2021-10-08 13:00:00,19.2,27.554,NA,NA,87.9,69.738,1350.1,0,NA,171,1.2,3.2,24.7,8.354,NA,NA,-18.162,NA,"pull1",2021-11-30,"B.12"
"51",151,"Arl","7","S",2021-10-08 14:00:00,21,29.19,NA,NA,75.2,59.708,1654.7,0,NA,160.6,1.7,4,29.3,8.19,NA,NA,-15.492,NA,"pull1",2021-11-30,"B.12"
"52",156,"Arl","7","S",2021-10-08 15:00:00,22.1,30.976,NA,NA,66.8,54.086,1801.7,0,NA,143.9,1.5,3.6,43.7,8.876,NA,NA,-12.714,NA,"pull1",2021-11-30,"B.12"
"53",157,"Arl","7","S",2021-10-08 16:00:00,22,27.481,NA,NA,67.4,61.708,987.6,0,NA,174.4,1.7,4.1,28.7,5.481,NA,NA,-5.69200000000001,NA,"pull1",2021-11-30,"B.12"
"54",161,"Arl","7","S",2021-10-08 17:00:00,21,22.896,NA,NA,73.4,74.651,394.1,0,NA,205.7,2.2,4,20.6,1.896,NA,NA,1.25099999999999,NA,"pull1",2021-11-30,"B.12"
"55",163,"Arl","7","S",2021-10-08 18:00:00,20.1,20.507,NA,NA,79.3,84.258,162.7,0,NA,213.2,1.8,3.5,15.6,0.407,NA,NA,4.958,NA,"pull1",2021-11-30,"B.12"
"56",167,"Arl","7","S",2021-10-08 19:00:00,19.2,18.129,NA,NA,85.8,91.257,12,0,NA,192,0.1,1.7,3.5,-1.071,NA,NA,5.45700000000001,NA,"pull1",2021-11-30,"B.12"
"57",170,"Arl","7","S",2021-10-08 20:00:00,17.6,16.582,NA,NA,94.7,96.635,0,0,NA,228,0.4,1.6,9.2,-1.018,NA,NA,1.935,NA,"pull1",2021-11-30,"B.12"
"58",173,"Arl","7","S",2021-10-08 21:00:00,16.4,14.553,NA,NA,98.3,97.988,0,0,NA,335.3,0,0.8,12.6,-1.847,NA,NA,-0.311999999999998,NA,"pull1",2021-11-30,"B.12"
"59",176,"Arl","7","S",2021-10-08 22:00:00,14.9,12.944,NA,NA,99.9,98.863,0,0,NA,167.4,0.1,0.9,17.9,-1.956,NA,NA,-1.03700000000001,NA,"pull1",2021-11-30,"B.12"
"60",180,"Arl","7","S",2021-10-08 23:00:00,14.2,12.243,NA,NA,99.9,99.846,0,0,NA,233.5,0.2,1.1,11,-1.957,NA,NA,-0.054000000000002,NA,"pull1",2021-11-30,"B.12"
"61",182,"Arl","7","S",2021-10-09 00:00:00,15.6,15.031,NA,NA,99.9,100,0,0,NA,232.4,0.2,1.7,11,-0.568999999999999,NA,NA,0.0999999999999943,NA,"pull1",2021-11-30,"B.12"
"62",185,"Arl","7","S",2021-10-09 01:00:00,15.9,15.7,NA,NA,99.9,100,0,0,NA,209.4,0,1.1,1.1,-0.200000000000001,NA,NA,0.0999999999999943,NA,"pull1",2021-11-30,"B.12"
"63",188,"Arl","7","S",2021-10-09 02:00:00,16.1,16.106,NA,NA,99.9,100,0,0,NA,0,0,0,0,0.00600000000000023,NA,NA,0.0999999999999943,NA,"pull1",2021-11-30,"B.12"
"64",192,"Arl","7","S",2021-10-09 03:00:00,16.1,16.034,NA,NA,99.9,100,0,0,NA,208.3,0,1.2,3.2,-0.0660000000000025,NA,NA,0.0999999999999943,NA,"pull1",2021-11-30,"B.12"
"65",194,"Arl","7","S",2021-10-09 04:00:00,15.6,15.557,NA,NA,99.9,100,0,0,NA,245.9,0.4,2.3,11.2,-0.0429999999999993,NA,NA,0.0999999999999943,NA,"pull1",2021-11-30,"B.12"
"66",197,"Arl","7","S",2021-10-09 05:00:00,16.3,16.296,NA,NA,99.9,100,0,0,NA,275.6,0.3,1.7,12.2,-0.00400000000000134,NA,NA,0.0999999999999943,NA,"pull1",2021-11-30,"B.12"
"67",201,"Arl","7","S",2021-10-09 06:00:00,16,16.249,NA,NA,99.9,100,0,0,NA,290.2,0,0.9,2,0.248999999999999,NA,NA,0.0999999999999943,NA,"pull1",2021-11-30,"B.12"
"68",202,"Arl","7","S",2021-10-09 07:00:00,15.7,16.129,NA,NA,99.9,100,0.5,0,NA,174.8,0,0.9,1.5,0.429000000000002,NA,NA,0.0999999999999943,NA,"pull1",2021-11-30,"B.12"
"69",206,"Arl","7","S",2021-10-09 08:00:00,15.7,16.796,NA,NA,99.9,100,77,0,NA,133,0.3,1.6,8.2,1.096,NA,NA,0.0999999999999943,NA,"pull1",2021-11-30,"B.12"
"70",208,"Arl","7","S",2021-10-09 09:00:00,16.3,18.224,NA,NA,99.9,100,262.8,0,NA,114.1,1.1,2.5,15.3,1.924,NA,NA,0.0999999999999943,NA,"pull1",2021-11-30,"B.12"
"71",212,"Arl","7","S",2021-10-09 10:00:00,16.8,20.722,NA,NA,99.9,99.247,652,0,NA,134.1,1.2,2.6,20.3,3.922,NA,NA,-0.653000000000006,NA,"pull1",2021-11-30,"B.12"
"72",214,"Arl","7","S",2021-10-09 11:00:00,19.4,26.916,NA,NA,88.6,74.442,1534.7,0.25,NA,121.3,1.2,3.4,29.8,7.516,NA,NA,-14.158,NA,"pull1",2021-11-30,"B.12"
"73",219,"Arl","7","S",2021-10-09 12:00:00,22.8,30.469,NA,NA,69,62.032,1829.7,0,NA,140.3,1.6,4.1,35.5,7.669,NA,NA,-6.968,NA,"pull1",2021-11-30,"B.12"
"74",220,"Arl","7","S",2021-10-09 13:00:00,24.4,32.484,NA,NA,64.4,55.163,1925.7,0,NA,116.6,1.8,4,31.5,8.084,NA,NA,-9.23700000000001,NA,"pull1",2021-11-30,"B.12"
"75",224,"Arl","7","S",2021-10-09 14:00:00,24.9,32.304,NA,NA,60.5,55.202,1674.6,0,NA,137,1.5,3.8,39.2,7.404,NA,NA,-5.298,NA,"pull1",2021-11-30,"B.12"
"76",227,"Arl","7","S",2021-10-09 15:00:00,25.6,31.689,NA,NA,58,55.689,1597.5,0,NA,121.1,2.4,4.7,32.3,6.089,NA,NA,-2.311,NA,"pull1",2021-11-30,"B.12"
"77",229,"Arl","7","S",2021-10-09 16:00:00,25.9,30.217,NA,NA,55.6,52.026,1361.5,0,NA,130.2,2.3,4.7,22.8,4.317,NA,NA,-3.574,NA,"pull1",2021-11-30,"B.12"
"78",232,"Arl","7","S",2021-10-09 17:00:00,25.1,26.475,NA,NA,55.6,59.133,678.4,0,NA,144.7,2.4,4.7,18.9,1.375,NA,NA,3.533,NA,"pull1",2021-11-30,"B.12"
"79",237,"Arl","7","S",2021-10-09 18:00:00,24.1,22.178,NA,NA,57.4,74.77,260.5,0,NA,137.1,2,5,14.6,-1.922,NA,NA,17.37,NA,"pull1",2021-11-30,"B.12"
"80",239,"Arl","7","S",2021-10-09 19:00:00,20.8,18.271,NA,NA,72.6,90.089,10.6,0,NA,114.9,1.5,4.7,14.1,-2.529,NA,NA,17.489,NA,"pull1",2021-11-30,"B.12"
"81",242,"Arl","7","S",2021-10-09 20:00:00,19.8,18.152,NA,NA,85.7,96.376,0,0,NA,110,2.9,5.2,12,-1.648,NA,NA,10.676,NA,"pull1",2021-11-30,"B.12"
"82",245,"Arl","7","S",2021-10-09 21:00:00,19.6,18.295,NA,NA,88.5,95.185,0,0,NA,115,3.2,5,13.8,-1.305,NA,NA,6.685,NA,"pull1",2021-11-30,"B.12"
"83",247,"Arl","7","S",2021-10-09 22:00:00,19.1,18.081,NA,NA,85.3,92.468,0,0,NA,117.4,3.3,6.2,14.2,-1.019,NA,NA,7.16800000000001,NA,"pull1",2021-11-30,"B.12"
"84",250,"Arl","7","S",2021-10-09 23:00:00,19,18.01,NA,NA,83.1,91.521,0,0,NA,123.4,3,6,14,-0.989999999999998,NA,NA,8.42100000000001,NA,"pull1",2021-11-30,"B.12"
"85",253,"Arl","7","S",2021-10-10 00:00:00,18.8,17.748,NA,NA,85.8,95.07,0,0,NA,126.9,2.6,4.7,14.7,-1.052,NA,NA,9.27,NA,"pull1",2021-11-30,"B.12"
"86",256,"Arl","7","S",2021-10-10 01:00:00,19.1,18.033,NA,NA,86.5,95.17,0,0,NA,140.5,2.7,5.9,13.6,-1.067,NA,NA,8.67,NA,"pull1",2021-11-30,"B.12"
"87",261,"Arl","7","S",2021-10-10 02:00:00,19.8,18.699,NA,NA,86.7,95.001,0,0,NA,156.6,2.8,5.9,17.2,-1.101,NA,NA,8.301,NA,"pull1",2021-11-30,"B.12"
"88",262,"Arl","7","S",2021-10-10 03:00:00,20.4,18.889,NA,NA,85.9,95.051,0,0,NA,169.1,2.6,4.7,14.6,-1.511,NA,NA,9.151,NA,"pull1",2021-11-30,"B.12"
"89",267,"Arl","7","S",2021-10-10 04:00:00,20.4,18.937,NA,NA,88.1,95.641,0,0,NA,165,2.7,5.2,12.9,-1.463,NA,NA,7.54100000000001,NA,"pull1",2021-11-30,"B.12"
"90",268,"Arl","7","S",2021-10-10 05:00:00,20.5,19.199,NA,NA,88.9,95.814,0,0,NA,176,3.3,7.2,15,-1.301,NA,NA,6.91399999999999,NA,"pull1",2021-11-30,"B.12"
"91",272,"Arl","7","S",2021-10-10 06:00:00,20.3,19.056,NA,NA,89.9,95.934,0,0,NA,180.4,3.4,6.5,14.7,-1.244,NA,NA,6.03399999999999,NA,"pull1",2021-11-30,"B.12"
"92",276,"Arl","7","S",2021-10-10 07:00:00,19.9,18.604,NA,NA,91,96.834,0.2,0,NA,178.5,2.8,5.9,13.9,-1.296,NA,NA,5.834,NA,"pull1",2021-11-30,"B.12"
"93",277,"Arl","7","S",2021-10-10 08:00:00,19.9,18.889,NA,NA,90.4,97.04,10.8,0,NA,182.4,4.1,7.5,16.9,-1.011,NA,NA,6.64,NA,"pull1",2021-11-30,"B.12"
"94",282,"Arl","7","S",2021-10-10 09:00:00,19.7,19.888,NA,NA,91.8,98.762,273.1,0,NA,195.8,2.5,8.4,23.2,0.188000000000002,NA,NA,6.962,NA,"pull1",2021-11-30,"B.12"
"95",284,"Arl","7","S",2021-10-10 10:00:00,21.1,22.034,NA,NA,83.1,83.625,629.7,0,NA,192.1,3.6,8.3,16.9,0.933999999999997,NA,NA,0.525000000000006,NA,"pull1",2021-11-30,"B.12"
"96",287,"Arl","7","S",2021-10-10 11:00:00,21.4,22.609,NA,NA,80.3,81.473,627.9,0,NA,189.3,4.8,9.2,16.3,1.209,NA,NA,1.173,NA,"pull1",2021-11-30,"B.12"
"97",290,"Arl","7","S",2021-10-10 12:00:00,22.4,24.798,NA,NA,75,73.179,931.5,0,NA,185.7,4.1,7.7,16.5,2.398,NA,NA,-1.821,NA,"pull1",2021-11-30,"B.12"
"98",293,"Arl","7","S",2021-10-10 13:00:00,22.4,22.561,NA,NA,72,77.214,519.8,0,NA,188.8,4.5,8.8,15.6,0.161000000000001,NA,NA,5.214,NA,"pull1",2021-11-30,"B.12"
"99",297,"Arl","7","S",2021-10-10 14:00:00,22.2,22.082,NA,NA,70.1,77.662,378.3,0,NA,194.4,4.2,8.4,17.1,-0.117999999999999,NA,NA,7.56200000000001,NA,"pull1",2021-11-30,"B.12"
"100",299,"Arl","7","S",2021-10-10 15:00:00,22.2,23.04,NA,NA,70.8,74.97,680.2,0,NA,200.6,5,9.3,15,0.84,NA,NA,4.17,NA,"pull1",2021-11-30,"B.12"
"101",301,"Arl","7","S",2021-10-10 16:00:00,21.2,21.175,NA,NA,76.1,80.853,300.3,0,NA,188.2,4.3,8.8,15.2,-0.0249999999999986,NA,NA,4.753,NA,"pull1",2021-11-30,"B.12"
"102",304,"Arl","7","S",2021-10-10 17:00:00,20.8,20.722,NA,NA,79.6,85.276,225.5,0,NA,183.7,5.2,9.5,14.9,-0.0779999999999994,NA,NA,5.676,NA,"pull1",2021-11-30,"B.12"
"103",307,"Arl","7","S",2021-10-10 18:00:00,20.9,20.341,NA,NA,79.9,86.209,164,0,NA,187.1,4.3,7.5,15.2,-0.558999999999997,NA,NA,6.309,NA,"pull1",2021-11-30,"B.12"
"104",310,"Arl","7","S",2021-10-10 19:00:00,20.2,18.295,NA,NA,82.7,91.565,15.8,0,NA,206,2.6,5.6,26.7,-1.905,NA,NA,8.86499999999999,NA,"pull1",2021-11-30,"B.12"
"105",315,"Arl","7","S",2021-10-10 20:00:00,19.2,17.13,NA,NA,87,95.795,0,0,NA,244.3,1.3,3.5,22.8,-2.07,NA,NA,8.795,NA,"pull1",2021-11-30,"B.12"
"106",316,"Arl","7","S",2021-10-10 21:00:00,17.9,15.103,NA,NA,91.8,97.627,0,0,NA,193.1,0,0.8,13.5,-2.797,NA,NA,5.827,NA,"pull1",2021-11-30,"B.12"
"107",319,"Arl","7","S",2021-10-10 22:00:00,17.3,15.629,NA,NA,96.7,100,0,0,NA,139.4,0.8,1.9,10.7,-1.671,NA,NA,3.3,NA,"pull1",2021-11-30,"B.12"
"108",323,"Arl","7","S",2021-10-10 23:00:00,16.9,15.485,NA,NA,97.4,99.766,0,0,NA,276.5,0.3,1.7,10.8,-1.415,NA,NA,2.366,NA,"pull1",2021-11-30,"B.12"
"109",327,"Arl","7","S",2021-10-11 00:00:00,17.1,16.082,NA,NA,98.8,100,0,0,NA,279.9,0.1,1.4,5.5,-1.018,NA,NA,1.2,NA,"pull1",2021-11-30,"B.12"
"110",329,"Arl","7","S",2021-10-11 01:00:00,17.7,17.582,NA,NA,99.8,100,0,5.59,NA,246.6,1.2,2.5,24.4,-0.117999999999999,NA,NA,0.200000000000003,NA,"pull1",2021-11-30,"B.12"
"111",333,"Arl","7","S",2021-10-11 02:00:00,17.7,17.153,NA,NA,99.8,100,0,1.27,NA,237.7,0.5,2.1,18,-0.547000000000001,NA,NA,0.200000000000003,NA,"pull1",2021-11-30,"B.12"
"112",336,"Arl","7","S",2021-10-11 03:00:00,17.2,17.011,NA,NA,99.9,100,0,0,NA,252.8,0.7,2.3,11.6,-0.189,NA,NA,0.0999999999999943,NA,"pull1",2021-11-30,"B.12"
"113",337,"Arl","7","S",2021-10-11 04:00:00,16.9,16.892,NA,NA,99.9,100,0,0,NA,219.9,1.1,2.5,20.1,-0.00799999999999912,NA,NA,0.0999999999999943,NA,"pull1",2021-11-30,"B.12"
"114",341,"Arl","7","S",2021-10-11 05:00:00,16.5,16.272,NA,NA,99.9,100,0,0,NA,246.6,1.8,3.5,15.8,-0.228000000000002,NA,NA,0.0999999999999943,NA,"pull1",2021-11-30,"B.12"
"115",343,"Arl","7","S",2021-10-11 06:00:00,15.9,15.963,NA,NA,99.8,100,0,0,NA,265.6,1.5,3.6,17.2,0.0629999999999988,NA,NA,0.200000000000003,NA,"pull1",2021-11-30,"B.12"
"116",347,"Arl","7","S",2021-10-11 07:00:00,15.4,15.7,NA,NA,99.9,100,0.5,0,NA,248,1,2.8,15.2,0.299999999999999,NA,NA,0.0999999999999943,NA,"pull1",2021-11-30,"B.12"
"117",350,"Arl","7","S",2021-10-11 08:00:00,15.2,15.939,NA,NA,99.9,100,59.4,0,NA,203.8,0.3,1.9,10.5,0.739000000000001,NA,NA,0.0999999999999943,NA,"pull1",2021-11-30,"B.12"
"118",354,"Arl","7","S",2021-10-11 09:00:00,15.5,16.892,NA,NA,99.4,100,197.7,0,NA,217.9,1.4,2.6,16.2,1.392,NA,NA,0.599999999999994,NA,"pull1",2021-11-30,"B.12"
"119",357,"Arl","7","S",2021-10-11 10:00:00,15.3,16.153,NA,NA,95.5,98.32,138.9,0,NA,259.2,1.8,3.6,20.6,0.852999999999998,NA,NA,2.81999999999999,NA,"pull1",2021-11-30,"B.12"
"120",359,"Arl","7","S",2021-10-11 11:00:00,14.9,16.344,NA,NA,93.7,99.393,271.4,0,NA,343.3,1.1,2.5,29.9,1.444,NA,NA,5.693,NA,"pull1",2021-11-30,"B.12"
"121",363,"Arl","7","S",2021-10-11 12:00:00,15,16.249,NA,NA,93.7,98.959,206.8,0.76,NA,131.9,0.5,2,33.2,1.249,NA,NA,5.259,NA,"pull1",2021-11-30,"B.12"
"122",364,"Arl","7","S",2021-10-11 13:00:00,15,16.701,NA,NA,97.7,98.724,228.2,1.02,NA,133.8,0.4,2.6,32.6,1.701,NA,NA,1.024,NA,"pull1",2021-11-30,"B.12"
"123",369,"Arl","7","S",2021-10-11 14:00:00,15.3,17.653,NA,NA,99.8,100,316.1,2.03,NA,104.8,1.5,3.2,44.2,2.353,NA,NA,0.200000000000003,NA,"pull1",2021-11-30,"B.12"
