"","number","X","site","sheet_id","sheet","loc.id","egg1","egg1b","live.hatch1","live.hatch2","live.hatch3","live.hatch4","dead.hatch1","dead.hatch2","dead.hatch3","dead.hatch4","x","y","tire_num","ABC","avg.egg","total.live","total.dead","total.hatch","pro.live","per.sur.live","rel.per.sur.live","per.red.live","JANmeanT","JANmeanA","JANmedT","JANmedA","std.JANmeanT","std.JANmeanA","JANmeanD","DJFmeanT","DJFmeanA","DJFmedT","DJFmedA","std.DJFmeanT","std.DJFmeanA","DJFmeanD","MinT","MinA","MinD","FFrostT","FFrostA","DaysB12T","DaysB12A","MAXHrsB12conT","MAXHrsB12conA","FreThaT","FreThaA","GDD_10_DJF","GDD_n12_DJF","GDD_10_FULL","GDD_n12_FULL"
"22","8",13,"Dek","A","A.03","IL_Dek_T1",143,115,0,0,0,0,2,6,0,0,-88.850903,41.841536,"T1","E",129,0,8,8,0,0,0,Inf,-7.6,-9.3,-7.251,-9.3,6.46812309953716,6.1145856569607,1.7,-3.29,-4.45,-2.771,-4,7.36237152748618,7.26732748451095,1.16,-23.89,-27.3,3.41,2021-10-23 02:00:00,2021-10-23 04:00:00,36,37,18,66,237,154,13.740875,1993.740875,215.301041666667,4432.884375
"23","8",14,"Dek","B","B.08","IL_Dek_T1",343,314,0,0,0,0,2,2,0,0,-88.850903,41.841536,"T1","E",328,0,4,4,0,0,0,Inf,-7.6,-9.3,-7.251,-9.3,6.46812309953716,6.1145856569607,1.7,-3.29,-4.45,-2.771,-4,7.36237152748618,7.26732748451095,1.16,-23.89,-27.3,3.41,2021-10-23 02:00:00,2021-10-23 04:00:00,36,37,18,66,237,154,13.740875,1993.740875,215.301041666667,4432.884375
"24","8",15,"Dek","C","C.12","IL_Dek_T1",241,276,0,0,0,0,1,7,0,0,-88.850903,41.841536,"T1","E",258,0,8,8,0,0,0,Inf,-7.6,-9.3,-7.251,-9.3,6.46812309953716,6.1145856569607,1.7,-3.29,-4.45,-2.771,-4,7.36237152748618,7.26732748451095,1.16,-23.89,-27.3,3.41,2021-10-23 02:00:00,2021-10-23 04:00:00,36,37,18,66,237,154,13.740875,1993.740875,215.301041666667,4432.884375
"25","9",16,"Dek","A","A.14","IL_Dek_T2",121,130,44,2,4,0,15,19,1,0,-88.850903,41.841536,"T2","W",126,50,35,85,0.588235294117647,0.396825396825397,8.29725829725831,-0.879478260869565,-6.7,-9.3,-6.262,-9.3,5.01624038288618,6.1145856569607,2.6,-2.95,-4.45,-2.625,-4,6.3447173955607,7.26732748451095,1.5,-20.07,-27.3,7.23,2021-10-23 04:00:00,2021-10-23 04:00:00,26,37,16,66,213,154,8.847125,1988.847125,193.8395,4411.42283333333
"26","9",17,"Dek","B","B.05","IL_Dek_T2",349,357,30,21,3,0,12,5,1,0,-88.850903,41.841536,"T2","W",353,54,18,72,0.75,0.152974504249292,0.656671042631108,0.522832491582491,-6.7,-9.3,-6.262,-9.3,5.01624038288618,6.1145856569607,2.6,-2.95,-4.45,-2.625,-4,6.3447173955607,7.26732748451095,1.5,-20.07,-27.3,7.23,2021-10-23 04:00:00,2021-10-23 04:00:00,26,37,16,66,213,154,8.847125,1988.847125,193.8395,4411.42283333333
"27","9",18,"Dek","C","C.09","IL_Dek_T2",459,480,87,9,7,0,16,14,4,0,-88.850903,41.841536,"T2","W",470,103,34,137,0.751824817518248,0.219148936170213,0.802517231045851,0.246079163554892,-6.7,-9.3,-6.262,-9.3,5.01624038288618,6.1145856569607,2.6,-2.95,-4.45,-2.625,-4,6.3447173955607,7.26732748451095,1.5,-20.07,-27.3,7.23,2021-10-23 04:00:00,2021-10-23 04:00:00,26,37,16,66,213,154,8.847125,1988.847125,193.8395,4411.42283333333
"28","10",2,"Bon","B","B.02","IL_Bon_T1",187,184,3,0,0,0,4,4,0,0,-89.24352498,40.04947272,"T1","E",186,3,8,11,0.272727272727273,0.0161290322580645,0.0692368214004721,13.4431818181818,-4.6,-5.6,-3.508,-5.2,6.21965018925771,5.86833438702821,1,-0.9,-1.54,-1.043,-1.4,7.02192898773369,7.35450221866601,0.64,-21.32,-20.9,-0.420000000000002,2021-11-01 04:00:00,2021-11-02 05:00:00,20,22,17,20,211,139,19.6517083333333,1999.65170833333,254.747583333333,4472.33091666667
"29","10",3,"Bon","C","C.05","IL_Bon_T1",470,455,0,0,0,0,2,17,0,0,-89.24352498,40.04947272,"T1","E",462,0,19,19,0,0,0,Inf,-4.6,-5.6,-3.508,-5.2,6.21965018925771,5.86833438702821,1,-0.9,-1.54,-1.043,-1.4,7.02192898773369,7.35450221866601,0.64,-21.32,-20.9,-0.420000000000002,2021-11-01 04:00:00,2021-11-02 05:00:00,20,22,17,20,211,139,19.6517083333333,1999.65170833333,254.747583333333,4472.33091666667
"30","10",1,"Bon","A","A.13","IL_Bon_T1",96,96,0,0,0,0,5,0,0,0,-89.24352498,40.04947272,"T1","E",96,0,5,5,0,0,0,Inf,-4.6,-5.6,-3.508,-5.2,6.21965018925771,5.86833438702821,1,-0.9,-1.54,-1.043,-1.4,7.02192898773369,7.35450221866601,0.64,-21.32,-20.9,-0.420000000000002,2021-11-01 04:00:00,2021-11-02 05:00:00,20,22,17,20,211,139,19.6517083333333,1999.65170833333,254.747583333333,4472.33091666667
"31","11",4,"Bon","B","B.14","IL_Bon_T2",195,175,1,0,0,0,3,11,0,0,-89.24352498,40.04947272,"T2","W",185,1,14,15,0.0666666666666667,0.00540540540540541,0.0232036914963745,42.0965909090909,-4.5,-5.6,-3.479,-5.2,6.29113709505118,5.86833438702821,1.1,-0.84,-1.54,-1.015,-1.4,7.10418087313202,7.35450221866601,0.7,-20.79,-20.9,0.109999999999999,2021-11-01 04:00:00,2021-11-02 05:00:00,20,22,17,20,211,139,20.8490416666667,2000.84904166667,253.2615,4470.84483333333
"32","11",5,"Bon","A","A.10","IL_Bon_T2",114,107,0,4,0,0,7,6,0,1,-89.24352498,40.04947272,"T2","W",110,4,14,18,0.222222222222222,0.0363636363636364,0.760330578512398,0.315217391304348,-4.5,-5.6,-3.479,-5.2,6.29113709505118,5.86833438702821,1.1,-0.84,-1.54,-1.015,-1.4,7.10418087313202,7.35450221866601,0.7,-20.79,-20.9,0.109999999999999,2021-11-01 04:00:00,2021-11-02 05:00:00,20,22,17,20,211,139,20.8490416666667,2000.84904166667,253.2615,4470.84483333333
"33","11",6,"Bon","C","C.07","IL_Bon_T2",419,438,1,8,2,0,1,6,2,1,-89.24352498,40.04947272,"T2","W",428,11,10,21,0.523809523809524,0.0257009345794393,0.0941160984599186,9.62517482517482,-4.5,-5.6,-3.479,-5.2,6.29113709505118,5.86833438702821,1.1,-0.84,-1.54,-1.015,-1.4,7.10418087313202,7.35450221866601,0.7,-20.79,-20.9,0.109999999999999,2021-11-01 04:00:00,2021-11-02 05:00:00,20,22,17,20,211,139,20.8490416666667,2000.84904166667,253.2615,4470.84483333333
"34","12",7,"Car","A","A.01","IL_Car_T1",85,70,61,8,1,0,9,4,0,0,-88.38075793,37.69977514,"T1","E",77.5,70,13,83,0.843373493975904,0.903225806451613,18.8856304985337,-0.947049689440994,-0.4,-1.1,-0.873,-1,6.10476872098815,5.84171067532291,0.7,3.52,3.32,2.584,2.5,8.00293216985898,8.00410390963578,-0.2,-15.79,-15.4,-0.389999999999999,2021-11-01 06:00:00,2021-11-03 05:00:00,8,7,8,7,201,121,99.3986666666667,2079.39866666667,502.210791666667,4719.794125
"35","12",8,"Car","B","B.15","IL_Car_T1",206,189,18,66,1,1,7,8,0,0,-88.38075793,37.69977514,"T1","E",198,86,15,101,0.851485148514851,0.434343434343434,1.86449864498645,-0.463662790697674,-0.4,-1.1,-0.873,-1,6.10476872098815,5.84171067532291,0.7,3.52,3.32,2.584,2.5,8.00293216985898,8.00410390963578,-0.2,-15.79,-15.4,-0.389999999999999,2021-11-01 06:00:00,2021-11-03 05:00:00,8,7,8,7,201,121,99.3986666666667,2079.39866666667,502.210791666667,4719.794125
"36","12",12,"Car","C","C.02","IL_Car_T1",366,366,182,40,14,5,15,6,3,1,-88.38075793,37.69977514,"T1","E",366,241,25,266,0.906015037593985,0.658469945355191,2.41129839144155,-0.585285668688158,-0.4,-1.1,-0.873,-1,6.10476872098815,5.84171067532291,0.7,3.52,3.32,2.584,2.5,8.00293216985898,8.00410390963578,-0.2,-15.79,-15.4,-0.389999999999999,2021-11-01 06:00:00,2021-11-03 05:00:00,8,7,8,7,201,121,99.3986666666667,2079.39866666667,502.210791666667,4719.794125
"37","13",10,"Car","B","B.07","IL_Car_T2",257,241,120,10,8,0,3,4,2,0,-88.38075793,37.69977514,"T2","W",249,138,9,147,0.938775510204082,0.55421686746988,2.37907728474876,-0.579668972332016,-0.2,-1.1,-0.732,-1,6.21667012757583,5.84171067532291,0.9,3.71,3.32,2.744,2.5,8.02005797430704,8.00410390963578,-0.39,-14.95,-15.4,0.450000000000001,2021-11-03 07:00:00,2021-11-03 05:00:00,6,7,7,7,191,121,104.205375,2084.205375,504.922625,4722.50595833333
"38","13",9,"Car","A","A.08","IL_Car_T2",179,189,60,25,4,0,6,9,1,0,-88.38075793,37.69977514,"T2","W",184,89,16,105,0.847619047619048,0.483695652173913,10.1136363636364,-0.901123595505618,-0.2,-1.1,-0.732,-1,6.21667012757583,5.84171067532291,0.9,3.71,3.32,2.744,2.5,8.02005797430704,8.00410390963578,-0.39,-14.95,-15.4,0.450000000000001,2021-11-03 07:00:00,2021-11-03 05:00:00,6,7,7,7,191,121,104.205375,2084.205375,504.922625,4722.50595833333
"39","13",11,"Car","C","C.08","IL_Car_T2",410,406,99,31,3,0,9,7,1,0,-88.38075793,37.69977514,"T2","W",408,133,17,150,0.886666666666667,0.325980392156863,1.19373101353217,-0.16229034123771,-0.2,-1.1,-0.732,-1,6.21667012757583,5.84171067532291,0.9,3.71,3.32,2.744,2.5,8.02005797430704,8.00410390963578,-0.39,-14.95,-15.4,0.450000000000001,2021-11-03 07:00:00,2021-11-03 05:00:00,6,7,7,7,191,121,104.205375,2084.205375,504.922625,4722.50595833333
